Date,interest_rate,loan_amount_approved,loan_amount_requested,loan_id,loan_purpose,loan_tenor,loan_status,no_of_dependent,rent_per_year,type_of_residence,year_of_residence,marital_status
18/10/2023,10,43000,100000,BRL6529281217,Business,2,DISBURSED,3,300000,Rented,4,married
18/10/2023,0,0,50000,BRL9620992506,Business,,DECLINED,0,130000,Rented,6,single
18/10/2023,0,0,150000,BRL7713958428,Business,,DECLINED,1,0,Permanent,5,single
18/10/2023,0,0,100000,BRL9803393944,Business,,DECLINED,0,0,Permanent,5,single
18/10/2023,0,0,20000,BRL2455719499,Business,,DECLINED,1,0,Permanent,34,married
18/10/2023,0,0,20000,BRL2822704759,Business,,DECLINED,0,250000,Rented,3,single
18/10/2023,0,0,30000,BRL2624323206,Emergency,,DECLINED,0,350000,Rented,2,single
18/10/2023,0,0,10000,BRL3677383868,Emergency,,DECLINED,0,350000,Rented,3,single
18/10/2023,0,0,20000,BRL2883551786,Rent,,DECLINED,0,300000,Rented,6,single
18/10/2023,10,25000,100000,BRL5546207576,Rent,2,DISBURSED,2,180000,Rented,4,married
18/10/2023,0,0,150000,BRL1808566236,Business,,DECLINED,0,600000,Rented,7,single
18/10/2023,0,0,75000,BRL9734357446,Emergency,,DECLINED,0,600000,Rented,7,single
18/10/2023,0,0,20000,BRL1425676772,Business,,DECLINED,2,500000,Rented,3,married
18/10/2023,0,0,150000,BRL9426393746,Business,,DECLINED,2,300000,Rented,6,single
18/10/2023,10,29000,150000,BRL4603691931,Emergency,2,DISBURSED,3,0,Permanent,12,married
18/10/2023,0,0,150000,BRL4335232093,Business,,DECLINED,3,0,Permanent,16,single
18/10/2023,0,0,150000,BRL6786973021,Business,,DECLINED,0,100000,Rented,4,single
18/10/2023,0,0,100000,BRL8749945973,Business,,DECLINED,1,100000,Rented,27,married
18/10/2023,0,0,150000,BRL8164150869,Business,,DECLINED,0,170000,Rented,5,single
18/10/2023,0,0,25000,BRL3807158910,Business,,DECLINED,2,0,Permanent,7,married
18/10/2023,0,0,21000,BRL2168835486,Emergency,,DECLINED,2,0,Permanent,7,married
19/10/2023,0,0,150000,BRL6759437518,Business,,DECLINED,3,150000,Rented,7,married
19/10/2023,0,0,10000,BRL6782328619,Emergency,,DECLINED,2,0,Permanent,15,single
19/10/2023,0,0,75000,BRL9984974660,Business,,STAGE1,0,0,Permanent,5,single
19/10/2023,0,0,150000,BRL6414993901,Business,,DECLINED,3,0,Permanent,12,single
19/10/2023,0,0,120000,BRL3674955403,Business,,DECLINED,5,0,Permanent,15,single
19/10/2023,0,0,20000,BRL4959469426,Business,,DECLINED,0,25000,Permanent,2,single
19/10/2023,0,0,70000,BRL5126319121,Business,,STAGE1,3,550000,Rented,2,married
19/10/2023,0,0,150000,BRL9845604082,Business,,DECLINED,0,0,Permanent,7,single
19/10/2023,0,0,10000,BRL5998331379,Emergency,,DECLINED,1,150000,Rented,4,single
19/10/2023,0,0,150000,BRL6927248999,Business,,DECLINED,2,0,Permanent,2,married
19/10/2023,8,36000,150000,BRL8603752679,Business,1,DISBURSED,1,0,Permanent,2,married
19/10/2023,0,0,50000,BRL6358221105,Business,,DECLINED,5,700000,Rented,3,single
19/10/2023,0,0,20000,BRL9579636609,Business,,DECLINED,2,0,Permanent,7,married
19/10/2023,0,0,150000,BRL9179427821,Business,,DECLINED,1,0,Permanent,2,married
19/10/2023,0,0,50000,BRL3712668111,Rent,,DECLINED,1,0,Permanent,2,married
19/10/2023,0,0,150000,BRL3912801654,Business,,DECLINED,2,200000,Rented,16,single
19/10/2023,0,0,10000,BRL9633834189,Business,,DECLINED,0,0,Permanent,3,single
19/10/2023,0,0,150000,BRL5302889069,Business,,DECLINED,2,300000,Rented,3,single
19/10/2023,8,150000,150000,BRL9033629562,Business,1,DISBURSED,0,500000,Rented,3,single
19/10/2023,8,4000,100000,BRL7561077656,Business,1,LIQUIDATED,2,220000,Rented,2,married
19/10/2023,0,0,100000,BRL7410074388,Emergency,,DECLINED,3,0,Permanent,6,married
19/10/2023,0,0,30000,BRL1847023876,Business,,DECLINED,0,0,Permanent,12,single
19/10/2023,0,0,150000,BRL9293122116,Business,,STAGE1,2,300000,Rented,16,single
19/10/2023,0,0,20000,BRL3092702638,Business,,DECLINED,2,0,Permanent,7,married
19/10/2023,0,0,50000,BRL6217340320,Emergency,,DECLINED,0,0,Permanent,6,single
19/10/2023,0,0,20000,BRL2336897780,Emergency,,STAGE1,0,0,Permanent,8,single
19/10/2023,0,0,100000,BRL8826673761,Business,,DECLINED,3,0,Permanent,4,married
19/10/2023,0,0,150000,BRL7846369997,Business,,DECLINED,4,0,Permanent,7,married
19/10/2023,0,0,50000,BRL1583828767,Emergency,,DECLINED,3,0,Permanent,4,married
19/10/2023,0,0,30000,BRL8229454278,Emergency,,DECLINED,2,0,Permanent,4,married
19/10/2023,0,0,150000,BRL7138444134,Business,,DECLINED,3,250000,Rented,2,married
19/10/2023,0,0,100000,BRL5657928634,Business,,DECLINED,3,250000,Rented,2,married
19/10/2023,0,0,20000,BRL2402702591,Emergency,,DECLINED,0,120000,Rented,4,single
19/10/2023,0,0,150000,BRL6050089329,Business,,DECLINED,2,0,Permanent,2,married
19/10/2023,0,0,100000,BRL4568885910,Business,,DECLINED,3,300000,Rented,1,married
19/10/2023,0,0,20000,BRL3030084430,Business,,DECLINED,0,100000,Rented,4,single
19/10/2023,0,0,100000,BRL7269880566,Business,,DECLINED,3,300000,Rented,2,married
19/10/2023,0,0,150000,BRL7846073272,Business,,DECLINED,0,1500000,Rented,10,single
19/10/2023,0,0,100000,BRL2361933722,Business,,DECLINED,0,750000,Rented,4,single
19/10/2023,0,0,150000,BRL7303952350,Business,,DECLINED,3,150000,Rented,3,married
19/10/2023,0,0,30000,BRL8790509544,Emergency,,DECLINED,1,0,Permanent,10,single
19/10/2023,0,0,5000,BRL5690969135,Emergency,,DECLINED,0,0,Permanent,10,single
19/10/2023,12,31000,150000,BRL7151239909,Business,3,DISBURSED,3,0,Permanent,5,married
20/10/2023,8,35000,100000,BRL5672097956,Emergency,1,DISBURSED,0,170000,Rented,2,single
20/10/2023,0,6000,150000,BRL2619072241,Business,,DECLINED,4,6000000,Rented,6,married
20/10/2023,0,0,50000,BRL3872078811,Emergency,,DECLINED,2,0,Permanent,4,married
20/10/2023,0,0,50000,BRL4071197492,Business,,DECLINED,0,110000,Rented,5,single
20/10/2023,0,0,20000,BRL1963400987,Emergency,,DECLINED,0,110000,Rented,5,single
20/10/2023,0,0,150000,BRL6617606411,Business,,DECLINED,0,200000,Rented,5,single
20/10/2023,0,0,5000,BRL5999164586,Emergency,,STAGE1,0,0,Permanent,5,single
20/10/2023,8,17000,50000,BRL4763550977,Business,1,DISBURSED,2,200000,Rented,5,single
20/10/2023,0,0,50000,BRL2752853252,Business,,STAGE1,1,120000,Rented,2,married
20/10/2023,0,0,150000,BRL2141155025,Business,,DECLINED,4,6000000,Rented,6,married
20/10/2023,0,0,50000,BRL9321823086,Emergency,,DECLINED,3,750000,Rented,2,married
20/10/2023,0,0,15000,BRL4914771417,Business,,DECLINED,2,0,Permanent,8,married
20/10/2023,0,0,50000,BRL2158839396,Business,,DECLINED,3,0,Permanent,3,married
20/10/2023,0,0,100000,BRL3058397535,Emergency,,DECLINED,3,200000,Rented,3,married
20/10/2023,0,0,150000,BRL5581079776,Business,,DECLINED,1,120000,Rented,3,single
20/10/2023,0,0,70000,BRL6602748396,Business,,DECLINED,3,290000,Rented,3,married
20/10/2023,0,0,20000,BRL4847698062,Rent,,DECLINED,0,150000,Rented,5,single
20/10/2023,0,0,150000,BRL1510884272,Business,,DECLINED,1,100000,Rented,27,married
20/10/2023,8,15000,20000,BRL3088622169,Business,1,DISBURSED,0,0,Permanent,12,single
21/10/2023,0,0,30000,BRL3691949649,Emergency,,DECLINED,0,0,Permanent,10,single
21/10/2023,0,0,30000,BRL8870713438,Emergency,,DECLINED,0,600000,Rented,7,single
21/10/2023,0,0,25000,BRL5767637044,Business,,DECLINED,0,125000,Rented,6,single
21/10/2023,8,46000,45000,BRL7003520904,Business,1,DISBURSED,0,400000,Rented,3,single
21/10/2023,0,0,150000,BRL7361468372,Emergency,,DECLINED,0,0,Permanent,10,single
21/10/2023,0,0,80000,BRL6653440963,Business,,DECLINED,0,0,Permanent,5,single
21/10/2023,0,0,150000,BRL2014631329,Emergency,,DECLINED,3,0,Permanent,15,married
21/10/2023,0,0,100000,BRL1554557144,Business,,STAGE1,1,120000,Rented,5,married
21/10/2023,0,0,30000,BRL7516593509,Emergency,,DECLINED,3,0,Permanent,4,married
21/10/2023,0,0,100000,BRL7089143171,Business,,DECLINED,3,0,Permanent,15,married
21/10/2023,0,11000,150000,BRL6369379415,Business,,PENDING,2,200000,Rented,10,married
22/10/2023,0,0,50000,BRL3403974952,Emergency,,DECLINED,0,0,Permanent,3,single
22/10/2023,0,0,10000,BRL1497247097,Rent,,DECLINED,0,150000,Rented,8,single
22/10/2023,0,0,10000,BRL8696821985,Emergency,,DECLINED,0,120000,Rented,8,single
22/10/2023,0,0,150000,BRL1861439398,Business,,DECLINED,0,150000,Rented,5,single
22/10/2023,0,0,50000,BRL2777265581,Emergency,,DECLINED,0,150000,Rented,5,single
22/10/2023,14,26000,150000,BRL5438000258,Business,4,DISBURSED,3,100000,Rented,10,married
22/10/2023,8,4000,150000,BRL9605136592,Business,1,DISBURSED,2,220000,Rented,2,married
22/10/2023,10,150000,150000,BRL5774107369,Business,2,DISBURSED,0,0,Permanent,5,single
22/10/2023,0,0,20000,BRL2710195534,Business,,DECLINED,5,250000,Rented,6,married
23/10/2023,0,0,150000,BRL7811703559,Business,,DECLINED,1,200000,Rented,2,single
23/10/2023,0,0,30000,BRL3812046172,Rent,,DECLINED,3,200000,Rented,5,married
23/10/2023,0,0,140000,BRL7896079581,Business,,DECLINED,0,1700000,Rented,3,single
